TrackName,Tier,PlayerName,Time,Points,Position,Penalty,FastestLap,HasFastestLap,ConstructorName,PenaltyPointsApplied,IsReserve,IsAi,
Bahrain,1,Erzkoy,00:07:38.6070000,25,1,0,00:01:30.5780000,True,Red Bull,0,False,False,
Bahrain,1,marselantuan,00:07:43.9700000,18,2,0,00:01:31.7650000,False,Aston Martin,0,False,False,
Bahrain,1,piotrek_player,00:07:50.9260000,15,3,0,00:01:32.8610000,False,McLaren,0,False,False,
Bahrain,1,e1pege,00:07:55.0530000,12,4,0,00:01:33.1270000,False,Visa Cash App RB,0,False,False,
Bahrain,1,,00:07:56.7830000,10,5,0,00:01:34.1410000,False,World Car,0,False,True,
Bahrain,1,Lewis Hamilton,00:07:57.5020000,8,6,0,00:01:33.5310000,False,Ferrari,0,False,True,
Bahrain,1,Andrea Kimi Antonelli,00:07:59.2460000,6,7,0,00:01:33.3870000,False,Mercedes-AMG Petronas,0,False,True,
Bahrain,1,Gabriel Bortoleto,00:08:00.0290000,4,8,0,00:01:33.6500000,False,Kick Sauber,0,False,True,
Bahrain,1,Yuki Tsunoda,00:08:00.7920000,2,9,0,00:01:33.8360000,False,Visa Cash App RB,0,False,True,
Bahrain,1,Fernando Alonso,00:08:01.2350000,1,10,0,00:01:33.2330000,False,Aston Martin,0,False,True,
Bahrain,1,Charles Leclerc,00:08:02.5130000,0,11,0,00:01:33.8300000,False,Ferrari,0,False,True,
Bahrain,1,Carlos Sainz,00:08:03.2780000,0,12,0,00:01:33.6300000,False,Williams,0,False,True,
Bahrain,1,George Russell,00:08:04.1630000,0,13,0,00:01:34.1060000,False,Mercedes-AMG Petronas,0,False,True,
Bahrain,1,Nico Hulkenberg,00:08:12.1300000,0,14,0,00:01:34.3270000,False,Kick Sauber,0,False,True,
Bahrain,1,Liam Lawson,00:08:18.3690000,0,15,0,00:01:35.3440000,False,Red Bull,0,False,True,
Bahrain,1,Lando Norris,00:08:30.3030000,0,16,0,00:01:36.1870000,False,McLaren,0,False,True,
Bahrain,1,Z1Z_PL,00:08:30.3400000,0,17,0,00:01:36.2190000,False,Haas,0,False,False,
Bahrain,1,SzPi1946,00:08:41.5340000,0,18,0,00:01:34.4240000,False,Alpine,0,False,False,
Bahrain,1,Oliver Bearman,00:08:44.2080000,0,19,0,00:01:34.4830000,False,Haas,0,False,True,
Bahrain,1,BjornBartomeu,00:09:00.1290000,0,20,0,00:01:36.1600000,False,Williams,0,False,False,
Bahrain,1,F1 Player,00:00:00,0,21,0,00:00:00,False,Mercedes-AMG Petronas,0,False,False,
Bahrain,1,FenomenalnyKorcz,00:00:00,0,22,0,00:00:00,False,Ferrari,0,False,False,
